,Character Count,Date,Number Tagged,Polarity,Sentiment,Subjectivity,Text,Word Count
988,110.0,2019-06-29 14:01:45,0.0,0.0,neutral,0.0,"Nike Air Max 270 React
Release Date: July 3rd, 2019
$150 
👇👇👇👇
https://t.co/7pUIEVaw91 https://t.co/zyxGEqEOIO",11.0
989,120.0,2019-06-29 14:01:45,0.0,-0.0016666666666666635,negative,0.24333333333333332,"Nike Air Jordan 1 Retro High OG - Black / Gym Red / White Sail - 7 sizes in stock. 
tweetid: 297 https://t.co/SlvckMdWaf",23.0
990,140.0,2019-06-29 14:01:37,0.0,0.09833333333333336,positive,0.3433333333333333,"available NOW
Air Jordan 1 High Retro OG ""Black Gym Red""

FA:https://t.co/lOhmpbTTbc
SP:https://t.co/MWjHpzEsbs
JDS… https://t.co/K8nr114Izu",11.0
991,54.0,2019-06-29 14:01:36,0.0,0.0,neutral,0.0,Woke up lookin fo another check like Nike sponsors me🤑,10.0
992,77.0,2019-06-29 14:01:28,0.0,0.0,neutral,0.0,"ORIGINAL❣️ Nike Benassi JD &amp; Vapormax
2,000php
Sizes 36-45

1week process",8.0
993,42.0,2019-06-29 14:01:26,0.0,0.0,neutral,0.0,Mexico dunksb/Nike https://t.co/SWOGgvnIzZ,3.0
994,134.0,2019-06-29 14:01:18,0.0,0.06818181818181818,positive,0.625,"NOW LIVE 💫
Nike Zoom Freak 1 'Total Orange'

Men's 
FootLocker -&gt; https://t.co/o4zB7WTAib
ShoePalace -&gt;… https://t.co/yryWcKrEob",13.0
995,139.0,2019-06-29 14:01:15,0.0,0.40499999999999997,positive,0.51,Good morning! It’s beautiful outside! I’m enjoying 2 cups of green tea before I lace-up my shoes and put on miles!… https://t.co/8sC6meS5gk,22.0
996,122.0,2019-06-29 14:01:10,0.0,0.22,positive,0.3133333333333333,"Air Jordan 1 Retro High OG ""Gym Red""🔥 🔴 🔥🔴
▫️ 
Available now on https://t.co/iP2xathB4D! 
🔎:
Men:… https://t.co/q95acD0hDe",16.0
997,139.0,2019-06-29 14:01:05,0.0,0.03242424242424243,positive,0.36833333333333335,"NOW LIVE 💫
Air Jordan 1 High Retro OG ""Black Gym Red"" 

FA:https://t.co/KtyU59XQpm
SP:https://t.co/LVdyhGZ4QR
JDS:… https://t.co/m0CDrbQcGX",13.0
998,60.0,2019-06-29 14:01:02,0.0,0.0,neutral,0.0,"Nike, the winged goddess of victory. https://t.co/fmcn0Mpomu",7.0
999,126.0,2019-06-29 14:01:01,0.0,0.625,positive,0.4,"The Nike #ZoomFreak1 'All Bros' is AVAILABLE NOW!! In Store and Online

🛒 &gt; https://t.co/afTZVg5M37 https://t.co/ox2VFklAey",15.0
1000,60.0,2019-06-29 14:00:46,0.0,0.0,neutral,0.0,"https://t.co/KC3OnhrskV
snkrs://feed https://t.co/8z4XY870gE",2.0
1001,136.0,2019-06-29 14:00:43,0.0,0.22,positive,0.3133333333333333,Release Date: The Air Jordan 1 High 'Black/White/Gym Red' is now available via SNKRS app! |$160| #SneakerScouts… https://t.co/Ey0w2o6Pep,18.0
1002,140.0,2019-06-29 14:00:35,0.0,-0.03333333333333333,negative,0.5916666666666667,I wanna point out that Nike are so uncreative and lazy that they used the same ball from normal leagues in the Copa… https://t.co/AuRGp0NSFh,24.0
1003,138.0,2019-06-29 14:00:30,0.0,0.21875,positive,0.625,"👌 Nike Kevin Durant NBA City Edition Authentic Jersey - Yellow  originally $200, now only  $159.99 via Footaction… https://t.co/A60G2tsb7y",21.0
1004,139.0,2019-06-29 14:00:25,1.0,0.8,positive,0.75,"@SelfColoureDan Kosuke and I often make mistakes.

Nike🇮🇹 job may have been great opportunity for you.
So you lost… https://t.co/hNbzzUtLnb",18.0
